类别,序号,中文,English,日本語,内容/规则,三语依据,来源,审查状态
留声典藏,1,猩红孤钻,Crimson Solitaire,緋き貴石,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
留声典藏,2,浅尝不止,Incessant Savoring,味見,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
留声典藏,3,深层迷醉,Deep Intoxication,深酔,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
留声典藏,4,熏陶,Nurture,薫陶,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
留声典藏,5,第■幕,Act ■,第■幕,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
留声典藏,6,宁静之渊,Silent Abyss,幽淵,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
留声典藏,7,傀儡的狂喜,Puppet's Ecstasy,狂喜,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
留声典藏,8,征兆,Omen,兆候,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
留声典藏,9,行文之韵,Rhythm in Literature,文の韻律,IS2 音乐条目,中英直接；日文为发行/索引字段,https://prts.wiki/w/傀影与猩红孤钻_明日方舟集成战略OST | https://arknights.wiki.gg/wiki/Phantom_%26_Crimson_Solitaire/OST,待补来源
